ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month
2013-07-01,16650,16.31,74.8,78.1,73.4,7.8,0.0,Monday,7
2013-07-02,22745,15.97,76.1,82.9,73.0,8.0,0.73,Tuesday,7
2013-07-03,21864,16.24,78.5,84.9,73.9,8.8,0.06,Wednesday,7
2013-07-04,22326,21.22,82.0,91.0,73.9,8.6,0.96,Thursday,7
2013-07-05,21842,18.04,84.4,93.0,75.9,9.0,0.0,Friday,7
2013-07-06,20467,19.33,87.0,95.0,77.0,9.3,0.0,Saturday,7
2013-07-07,20477,18.64,88.8,98.1,79.0,8.8,0.0,Sunday,7
2013-07-08,21615,21.49,83.7,98.1,75.0,8.9,0.0,Monday,7
2013-07-09,26641,16.1,82.6,91.0,75.0,6.0,0.0,Tuesday,7
2013-07-10,25732,15.53,82.0,91.0,75.0,8.7,0.08,Wednesday,7
2013-07-11,24417,16.83,82.3,91.0,75.0,7.6,0.02,Thursday,7
2013-07-12,19006,15.64,75.4,86.0,72.0,9.1,0.0,Friday,7
2013-07-13,26119,18.62,71.4,78.1,68.0,10.5,0.23,Saturday,7
2013-07-14,29287,19.36,80.2,93.9,69.1,6.0,0.01,Sunday,7
2013-07-15,28069,15.32,87.2,93.9,72.0,7.8,0.0,Monday,7
2013-07-16,29842,15.13,86.5,93.9,79.0,7.9,0.0,Tuesday,7
2013-07-17,30550,14.67,87.4,97.0,78.1,4.0,0.0,Wednesday,7
2013-07-18,28869,14.38,89.3,100.0,78.1,6.3,0.0,Thursday,7
2013-07-19,26591,14.67,92.5,100.0,82.9,8.9,0.0,Friday,7
2013-07-20,25278,17.95,89.2,100.0,82.9,11.3,0.0,Saturday,7
2013-07-21,30297,18.71,82.2,95.0,77.0,7.6,0.0,Sunday,7
2013-07-22,25979,14.7,77.1,87.1,75.0,8.3,0.0,Monday,7
2013-07-23,32376,15.74,80.0,91.0,75.0,7.4,0.58,Tuesday,7
2013-07-24,35271,15.59,79.9,91.0,75.0,7.8,0.31,Wednesday,7
2013-07-25,31084,14.94,68.0,82.9,64.0,11.7,0.0,Thursday,7
2013-07-26,34534,15.67,71.5,84.0,64.0,8.6,0.02,Friday,7
2013-07-27,32470,18.91,76.9,84.0,64.9,8.5,0.0,Saturday,7
2013-07-28,23508,17.54,74.8,84.0,71.1,7.6,0.0,Sunday,7
2013-07-29,34915,15.69,77.3,89.1,71.1,5.7,0.13,Monday,7
2013-07-30,37334,15.83,75.9,89.1,70.0,8.7,0.0,Tuesday,7
2013-07-31,37261,15.39,76.1,82.0,70.0,6.2,0.0,Wednesday,7
2013-08-01,20138,13.38,73.5,82.0,69.1,7.6,0.0,Thursday,8
2013-08-02,35792,16.09,75.5,86.0,69.1,7.3,0.5,Friday,8
2013-08-03,29540,18.49,76.4,86.0,70.0,8.1,0.0,Saturday,8
2013-08-04,35253,19.72,74.6,81.0,70.0,8.7,0.01,Sunday,8
2013-08-05,36776,16.12,71.5,81.0,64.0,9.4,0.0,Monday,8
2013-08-06,37702,16.16,73.9,82.0,64.0,6.3,0.0,Tuesday,8
2013-08-07,34396,14.69,74.4,82.0,66.9,9.5,0.0,Wednesday,8
2013-08-08,28366,14.32,75.0,82.0,71.1,9.1,0.16,Thursday,8
2013-08-09,29017,15.14,78.2,89.1,71.1,9.2,0.08,Friday,8
2013-08-10,37201,20.44,78.3,89.1,72.0,8.9,0.04,Saturday,8
2013-08-11,33060,19.43,74.8,84.0,66.9,5.7,0.0,Sunday,8
2013-08-12,31457,15.31,74.8,82.0,66.9,5.5,0.09,Monday,8
2013-08-13,22437,15.65,74.0,82.0,70.0,5.3,0.01,Tuesday,8
2013-08-14,38150,15.56,69.5,78.1,62.1,12.4,0.73,Wednesday,8
2013-08-15,37386,15.3,69.8,78.1,62.1,8.2,0.0,Thursday,8
2013-08-16,35991,16.39,72.6,81.0,63.0,3.7,0.0,Friday,8
2013-08-17,37285,20.1,73.6,81.0,66.9,5.2,0.0,Saturday,8
2013-08-18,27612,16.94,72.5,81.0,68.0,5.2,0.0,Sunday,8
2013-08-19,33127,14.89,73.5,80.1,68.0,5.5,0.0,Monday,8
2013-08-20,35843,14.97,77.5,89.1,68.0,4.5,0.0,Tuesday,8
2013-08-21,36315,15.09,81.1,90.0,70.0,4.5,0.0,Wednesday,8
2013-08-22,26629,14.41,77.5,90.0,73.0,5.8,0.0,Thursday,8
2013-08-23,33503,15.74,76.2,81.0,72.0,9.0,0.24,Friday,8
2013-08-24,32941,18.08,71.5,81.0,64.0,8.9,0.0,Saturday,8
2013-08-25,31755,19.06,73.8,82.9,64.0,4.8,0.0,Sunday,8
2013-08-26,29979,15.47,75.3,84.0,66.9,9.1,0.0,Monday,8
2013-08-27,34208,15.07,78.3,86.0,70.0,10.6,0.01,Tuesday,8
2013-08-28,28185,14.16,78.0,86.0,73.0,3.2,0.1,Wednesday,8
2013-08-29,34215,14.31,74.6,84.9,71.1,7.3,0.0,Thursday,8
2013-08-30,32318,15.44,75.4,86.0,69.1,7.4,0.0,Friday,8
2013-08-31,25381,17.86,78.5,86.0,69.1,8.8,0.0,Saturday,8
2013-09-01,25235,18.37,79.6,86.0,73.0,8.0,0.0,Sunday,9
2013-09-02,21416,16.86,76.9,80.6,71.6,4.8,0.0,Monday,9
2013-09-03,32411,14.44,76.2,82.0,72.0,6.7,0.99,Tuesday,9
2013-09-04,36798,15.07,73.3,82.0,66.0,10.4,0.09,Wednesday,9
2013-09-05,35825,14.6,74.3,82.0,66.0,9.3,0.0,Thursday,9
2013-09-06,35868,14.81,64.8,77.0,57.0,7.5,0.0,Friday,9
2013-09-07,34419,17.38,68.3,79.0,57.0,6.5,0.0,Saturday,9
2013-09-08,33196,17.08,73.9,80.1,61.0,8.7,0.0,Sunday,9
2013-09-09,35394,15.26,65.9,80.1,57.9,7.7,0.0,Monday,9
2013-09-10,36954,14.48,74.8,88.0,57.9,8.8,0.0,Tuesday,9
2013-09-11,35812,14.03,83.6,93.9,69.1,7.5,0.0,Wednesday,9
